id,name,category_id,part_type,engine_model,category_spec
12127,Фильтр топливный элемент для ременных тракторов,2,filters,,Фильтра
12128,Фильтр топливный элемент С0708В Chery 244,2,filters,,Фильтра
17072,Нога опорная,2,parts,,Прочие запчасти
12131,Фильтр топливный элемент 10х20х62х73,2,filters,,Фильтра
12134,"Фильтр топливный C0506C (C0506B) с крышкой в сборе DLH, TY295IT",2,filters,,Фильтра
12135,"Фильтр топливный CX0506 М16х1,5 JD 295, FT-254, SF-244.",2,filters,,Фильтра
12137,Фильтр топливный CX0710B / JR8110015 / FF5327 / CX5327 М16×1.5,2,filters,,Фильтра
12138,"Фильтр топливный CX0806 М20х1,5 WBF789",2,filters,,Фильтра
17073,Нога опорная,2,parts,,Прочие запчасти
12139,Фильтр топливный CX0814C 1″-14,2,filters,,Фильтра
12142,Элемент воздушного фильтра (металлическая сетка) DL 190-12; TY290/ 295,2,filters,,Фильтра
12143,Гидрораспределитель 1Р40-А1 GKZ1,2,parts,,Гидравлика
12144,Гидрораспределитель 1Р40-А8 GKz1 с фиксацией,2,parts,,Гидравлика
12145,Гидрораспределитель 1Р40(Z50)-K16 с плавающим режимом,2,parts,,Гидравлика
12146,Гидрораспределитель 1Р80-А1 (Болгария),2,parts,,Гидравлика
12147,Гидрораспределитель 1Р80-А8 (Болгария) с фиксацией золотника,2,parts,,Гидравлика
12148,Гидрораспределитель 2Р40-1А1А1 GKZ1 (Болгария),2,parts,,Гидравлика
12149,Гидрораспределитель 2Р40-1А1А1 GKZ1 (Китай),2,parts,,Гидравлика
12150,Гидрораспределитель 2Р40-1А8А8 GKZ1 с фиксацией 2х золотников,2,parts,,Гидравлика
12151,Гидрораспределитель 2Р40-1К16А1 GKZ1 (Китай) с плавающим,2,parts,,Гидравлика
12152,"Гидрораспределитель 2Р40-1К16А8 GKZ1 (Болгария) 1 золот. плавающий, 1 – с фиксацией",2,parts,,Гидравлика
12153,Гидрораспределитель 2Р40-1К16К16 с плавающим режимом 2х золотников (Болгария),2,parts,,Гидравлика
12154,Гидрораспределитель 2Р40(Z50)-1A1K16 GKZ1 (Болгария) с плавающим режимом,2,parts,,Гидравлика
12155,Гидрораспределитель 2Р80-1А1А1 GKZ1,2,parts,,Гидравлика
12156,Гидрораспределитель 2Р80-1А8А8 GKZ1 с фиксацией в 3х положениях (Болгария),2,parts,,Гидравлика
12157,Гидрораспределитель 3Р40-1А1А1К16 GKZ1 (Китай) с плавающим режимом,2,parts,,Гидравлика
12158,Гидрораспределитель 3Р40-1А1А1A1 GKZ1 (Китай),2,parts,,Гидравлика
12159,Гидрораспределитель 3Р40-1А1А8А8 с фиксацией 2х золотников,2,parts,,Гидравлика
12160,Гидрораспределитель 3Р40-1А1А8K16 с плавающим режимом и фиксацией,2,parts,,Гидравлика
12161,Гидрораспределитель 3Р40-1A1A1A1 GKZ1 (Болгария),2,parts,,Гидравлика
12162,Гидрораспределитель 3Р40-1A1A1K16 GkZ1 (Болгария) с плавающим режимом,2,parts,,Гидравлика
12163,Гидрораспределитель 3Р40(Z50)-1A1К16K16 GkZ1 (Болгария) с плавающим режимом 2х золотников,2,parts,,Гидравлика
12164,Гидрораспределитель 3Р80-1А1А1А1 GKZ1 (Болгария),2,parts,,Гидравлика
12165,Гидрораспределитель 3Р80-1L13L13L13 GKZ1 с 3 плав. золотниками с фиксацией в 4 пол. (Болгария),2,parts,,Гидравлика
12166,Гидрораспределитель 4Р40-1A1A1К16К16 GKZ1 с плавающим режимом 2х золотников,2,parts,,Гидравлика
12167,Гидрораспределитель 4Р40-1A1A1A1А1 МKZ1,2,parts,,Гидравлика
12168,Джойстик для гидрораспределителей Р40,2,parts,,Гидравлика
12169,Джойстик для гидрораспределителей Р80,2,parts,,Гидравлика
12170,Джойстик ID-3335 Indemar (с тросом и переходниками) для гидрораспределителя,2,parts,,Гидравлика
12171,Дозатор гидравлический рулевого механизма (V=100 мл/об),2,parts,,Гидравлика
12172,Клапан предохранительный для гидрораспределителей Р40 / Р80,2,parts,,Гидравлика
12173,Комплект подключения 02Р40 гидрораспределителя,2,parts,,Гидравлика
12174,Комплект подключения 03Р40 гидрораспределителя,2,parts,,Гидравлика
12175,Пыльник (чехол) распределителя Р40 / Р80 / Р120,2,parts,,Гидравлика
12176,Ремкомплект КБЧ для гидрораспределителей типа Р40 (01Р40 – 05Р40),2,parts,,Гидравлика
12177,Рукоятка гидрораспределителя М10 (для Р80),2,parts,,Гидравлика
12178,Рукоятка гидрораспределителя М8 (для Р40),2,parts,,Гидравлика
